group,ΠΑΝΕΛΛΑΔΙΚΑ
NEPIT1.gr,ERT1,https://www.youtube.com/watch?v=VaviMC3KGtQ
NEPIT1.gr,ERT1 BUP,mmsh://wpso.com:200/ert1
NEPIT1.gr,ERT1 BUP 2,http://38.140.63.250:1935/gr-live/et1.sdp/playlist.m3u8
NEPITplus.gr,ERT2,https://www.youtube.com/watch?v=TyvdueFoCfA
NEPITplus.gr,ERT2 BUP,http://38.140.63.250:1935/gr-live/neritplus.sdp/playlist.m3u8
EPT3.gr,ERT3,https://www.youtube.com/watch?v=TAPQISON4YM
EPT3.gr,ERT3 BUP,mmsh://wpso.com:200/ert3
mega.gr,MEGA,https://www.youtube.com/watch?v=2Y8qsS_xH2Y
mega.gr,MEGA BUP,http://94.23.218.186:1935/galanos3/galanos3/playlist.m3u8
mega.gr,MEGA BUP 2,http://38.140.63.250:1935/gr-live/mega.sdp/playlist.m3u8
ANT1.gr,ANT1,http://antennatv-lh.akamaihd.net/i/live_1@329667/master.m3u8
ANT1.gr,ANT1 BUP,http://94.23.218.186:1935/galanos11/galanos11/playlist.m3u8
ANT1.gr,ANT1 BUP 2,http://38.1402.63.250:1935/gr-live/ant1.sdp/playlist.m3u8
alpha.gr,ALPHA,http://193.92.37.235:1935/liveedge/live@720/master.m3u8?DVR
alpha.gr,ALPHA BUP,http://38.140.63.250:1935/gr-live/alpha.sdp/playlist.m3u8
star.gr,STAR,http://starhdlive2-lh.akamaihd.net/i/live_1@181243/master.m3u8
star.gr,STAR BUP,http://94.23.218.186:1935/galanos2/galanos2/playlist.m3u8
star.gr,STAR BUP 2,http://38.140.63.250:1935/gr-live/star.sdp/playlist.m3u8
Skai.gr,SKAI,https://www.youtube.com/watch?v=fknuPzSf3-I
Skai.gr,SKAI BUP,http://38.140.63.250:1935/gr-live/skai.sdp/playlist.m3u8
ETV.gr,E,http://mgrouphdlive4-f.akamaihd.net/i/live_1@324569/master.m3u8
Skai.gr,E BUP,http://38.140.63.250:1935/gr-live/otesport5.sdp/playlist.m3u8
Macedonia.gr,M.TV,http://stream.maktv.gr/i/live_1@332903/master.m3u8
APT.gr,ART,https://www.youtube.com/watch?v=jCKr99Hz7TY
ERTWorld.ca,ERT WORLD,https://www.youtube.com/watch?v=rdlulSBQPp8
ERTWorld.ca,ERT WORLD BUP,rtmp://freeview.fms.visionip.tv:1935/live/tvnetwork-hellenictv-ertworld-hsslive-25f-4x3-SDh?PHPSESSID=8blpkkmbb990ekhc80gfht1cq3
vouli.gr,VOULI,http://streamer-cache.grnet.gr/parliament/hls/webtv.m3u8
vouli.gr,VOULI BUP,mms://media19.internet.gr/ParliamentTV-HQ

group,ΛΟΙΠΑ
Euronews.gr,EURONEWS,rtsp://ewns-hls-p-stream.hexaglobe.net/rtpeuronewslive/gr_vidan350_rtp.sdp
EBS.us,EBS,http://ott.ec.streamcloud.be/live/disk1/EBS/hls_el/EBS-audio_AACL_ell_66400_207=66400-video=800000.m3u8
ext,EBS PLUS,http://ott.ec.streamcloud.be/live/disk1/EBSplus/hls_el/EBSplus-audio_AACL_ell_66400_407=66400-video=800000.m3u8

group,ΠΑΓΚΥΠΡΙΑ
